Global,ROI,Sub,SubSub,ROI_all
VLNP(R),,,,VLNP(R)
VLNP(R),AOTU(R),,,AOTU(R)
VLNP(R),AVLP(R),,,AVLP(R)
VLNP(R),PVLP(R),,,PVLP(R)
VLNP(R),PLP(R),,,PLP(R)
VLNP(R),WED(R),,,WED(R)
CX,,,,CX
CX,FB,,,FB
CX,FB,FB-column3,,FB-column3
CX,FB,FBl1,,FBl1
CX,FB,FBl2,,FBl2
CX,FB,FBl3,,FBl3
CX,FB,FBl4,,FBl4
CX,FB,FBl5,,FBl5
CX,FB,FBl6,,FBl6
CX,FB,FBl7,,FBl7
CX,FB,FBl8,,FBl8
CX,FB,FBl9,,FBl9
CX,EB,,,EB
CX,EB,EBr1,,EBr1
CX,EB,EBr2r4,,EBr2r4
CX,EB,EBr3am,,EBr3am
CX,EB,EBr3d,,EBr3d
CX,EB,EBr3pw,,EBr3pw
CX,EB,EBr5,,EBr5
CX,EB,EBr6,,EBr6
CX,AB(R),,,AB(R)
CX,AB(L),,,AB(L)
CX,PB,,,PB
CX,PB,PB(R1),,PB(R1)
CX,PB,PB(R2),,PB(R2)
CX,PB,PB(R3),,PB(R3)
CX,PB,PB(R4),,PB(R4)
CX,PB,PB(R5),,PB(R5)
CX,PB,PB(R6),,PB(R6)
CX,PB,PB(R7),,PB(R7)
CX,PB,PB(R8),,PB(R8)
CX,PB,PB(R9),,PB(R9)
CX,PB,PB(L1),,PB(L1)
CX,PB,PB(L2),,PB(L2)
CX,PB,PB(L3),,PB(L3)
CX,PB,PB(L4),,PB(L4)
CX,PB,PB(L5),,PB(L5)
CX,PB,PB(L6),,PB(L6)
CX,PB,PB(L7),,PB(L7)
CX,PB,PB(L8),,PB(L8)
CX,PB,PB(L9),,PB(L9)
CX,NO,,,NO
CX,NO,NO(R),,NO(R)
CX,NO,NO(R),NO1(R),NO1(R)
CX,NO,NO(R),NO2(R),NO2(R)
CX,NO,NO(R),NO3(R),NO3(R)
CX,NO,NO(L),,NO(L)
CX,NO,NO(L),NO1(L),NO1(L)
CX,NO,NO(L),NO2(L),NO2(L)
CX,NO,NO(L),NO3(L),NO3(L)
LH(R),,,,LH(R)
SNP(R),,,,SNP(R)
SNP(R),SLP(R),,,SLP(R)
SNP(R),SIP(R),,,SIP(R)
SNP(R),SMP(R),,,SMP(R)
SNP(L),,,,SNP(L)
SNP(L),SIP(L),,,SIP(L)
SNP(L),SMP(L),,,SMP(L)
INP,,,,INP
INP,CRE(R),,,CRE(R)
INP,CRE(R),RUB(R),,RUB(R)
INP,CRE(R),ROB(R),,ROB(R)
INP,CRE(L),,,CRE(L)
INP,CRE(L),RUB(L),,RUB(L)
INP,SCL(R),,,SCL(R)
INP,SCL(L),,,SCL(L)
INP,ICL(R),,,ICL(R)
INP,ICL(L),,,ICL(L)
INP,IB,,,IB
INP,ATL(R),,,ATL(R)
INP,ATL(L),,,ATL(L)
AL(R),,,,AL(R)
AL(R),AL-D(R),,,AL-D(R)
AL(R),AL-DA1(R),,,AL-DA1(R)
AL(R),AL-DA2(R),,,AL-DA2(R)
AL(R),AL-DA3(R),,,AL-DA3(R)
AL(R),AL-DA4l(R),,,AL-DA4l(R)
AL(R),AL-DA4m(R),,,AL-DA4m(R)
AL(R),AL-DC1(R),,,AL-DC1(R)
AL(R),AL-DC2(R),,,AL-DC2(R)
AL(R),AL-DC3(R),,,AL-DC3(R)
AL(R),AL-DC4(R),,,AL-DC4(R)
AL(R),AL-DL1(R),,,AL-DL1(R)
AL(R),AL-DL2d(R),,,AL-DL2d(R)
AL(R),AL-DL2v(R),,,AL-DL2v(R)
AL(R),AL-DL3(R),,,AL-DL3(R)
AL(R),AL-DL4(R),,,AL-DL4(R)
AL(R),AL-DL5(R),,,AL-DL5(R)
AL(R),AL-DM1(R),,,AL-DM1(R)
AL(R),AL-DM2(R),,,AL-DM2(R)
AL(R),AL-DM3(R),,,AL-DM3(R)
AL(R),AL-DM4(R),,,AL-DM4(R)
AL(R),AL-DM5(R),,,AL-DM5(R)
AL(R),AL-DM6(R),,,AL-DM6(R)
AL(R),AL-DP1l(R),,,AL-DP1l(R)
AL(R),AL-DP1m(R),,,AL-DP1m(R)
AL(R),AL-V(R),,,AL-V(R)
AL(R),AL-VA1d(R),,,AL-VA1d(R)
AL(R),AL-VA1v(R),,,AL-VA1v(R)
AL(R),AL-VA2(R),,,AL-VA2(R)
AL(R),AL-VA3(R),,,AL-VA3(R)
AL(R),AL-VA4(R),,,AL-VA4(R)
AL(R),AL-VA5(R),,,AL-VA5(R)
AL(R),AL-VA6(R),,,AL-VA6(R)
AL(R),AL-VA7l(R),,,AL-VA7l(R)
AL(R),AL-VA7m(R),,,AL-VA7m(R)
AL(R),AL-VC1(R),,,AL-VC1(R)
AL(R),AL-VC2(R),,,AL-VC2(R)
AL(R),AL-VC3l(R),,,AL-VC3l(R)
AL(R),AL-VC3m(R),,,AL-VC3m(R)
AL(R),AL-VC4(R),,,AL-VC4(R)
AL(R),AL-VC5(R),,,AL-VC5(R)
AL(R),AL-VL1(R),,,AL-VL1(R)
AL(R),AL-VL2a(R),,,AL-VL2a(R)
AL(R),AL-VL2p(R),,,AL-VL2p(R)
AL(R),AL-VM1(R),,,AL-VM1(R)
AL(R),AL-VM2(R),,,AL-VM2(R)
AL(R),AL-VM3(R),,,AL-VM3(R)
AL(R),AL-VM4(R),,,AL-VM4(R)
AL(R),AL-VM5d(R),,,AL-VM5d(R)
AL(R),AL-VM5v(R),,,AL-VM5v(R)
AL(R),AL-VM7d(R),,,AL-VM7d(R)
AL(R),AL-VM7v(R),,,AL-VM7v(R)
AL(R),AL-VP1d(R),,,AL-VP1d(R)
AL(R),AL-VP1l(R),,,AL-VP1l(R)
AL(R),AL-VP1m(R),,,AL-VP1m(R)
AL(R),AL-VP2(R),,,AL-VP2(R)
AL(R),AL-VP3(R),,,AL-VP3(R)
AL(R),AL-VP4(R),,,AL-VP4(R)
AL(R),AL-VP5(R),,,AL-VP5(R)
AL(L),,,,AL(L)
AL(L),AL-D(L),,,AL-D(L)
AL(L),AL-DA2(L),,,AL-DA2(L)
AL(L),AL-DA3(L),,,AL-DA3(L)
AL(L),AL-DA4m(L),,,AL-DA4m(L)
AL(L),AL-DC1(L),,,AL-DC1(L)
AL(L),AL-DC2(L),,,AL-DC2(L)
AL(L),AL-DC4(L),,,AL-DC4(L)
AL(L),AL-DL4(L),,,AL-DL4(L)
AL(L),AL-DL5(L),,,AL-DL5(L)
AL(L),AL-DM1(L),,,AL-DM1(L)
AL(L),AL-DM2(L),,,AL-DM2(L)
AL(L),AL-DM3(L),,,AL-DM3(L)
AL(L),AL-DM4(L),,,AL-DM4(L)
AL(L),AL-DM5(L),,,AL-DM5(L)
AL(L),AL-DM6(L),,,AL-DM6(L)
AL(L),AL-DP1m(L),,,AL-DP1m(L)
AL(L),,,,
AL(L),AL-VA6(L),,,AL-VA6(L)
AL(L),AL-VM7d(L),,,AL-VM7d(L)
AL(L),AL-VM7v(L),,,AL-VM7v(L)
VMNP,,,,VMNP
VMNP,VES(R),,,VES(R)
VMNP,VES(L),,,VES(L)
VMNP,EPA(R),,,EPA(R)
VMNP,EPA(L),,,EPA(L)
VMNP,GOR(R),,,GOR(R)
VMNP,GOR(L),,,GOR(L)
VMNP,SPS(R),,,SPS(R)
VMNP,SPS(L),,,SPS(L)
VMNP,IPS(R),,,IPS(R)
PENP,,,,PENP
PENP,SAD,,,SAD
PENP,SAD,AMMC,,AMMC
PENP,FLA(R),,,FLA(R)
PENP,CAN(R),,,CAN(R)
PENP,PRW,,,PRW
GNG,,,,GNG
AOT(R),,,,AOT(R)
GC,,,,GC
GF(R),,,,GF(R)
mALT(R),,,,mALT(R)
mALT(L),,,,mALT(L)
POC,,,,POC
